Accident_Index,Location_Easting_OSGR ,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2.01E+12,460950,452200,-1.072494,53.962299,12,1,1,1,29/11/2011,3,0.020138889,189,E06000014,5,408,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01013383
2.01E+12,457510,452360,-1.124889,53.964131,12,1,1,1,26/10/2011,4,0.013888889,189,E06000014,6,2710,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01013338
2.01E+12,465600,457390,-1.000515,54.008371,12,1,3,2,28/09/2011,4,0.024305556,189,E06000014,3,64,6,60,3,4,6,0,0,0,1,1,1,0,0,2,1,E01013437
2.01E+12,456200,449640,-1.145355,53.93983,12,1,2,2,20/09/2011,3,0.010416667,189,E06000014,3,1237,6,60,0,-1,-1,0,0,0,6,1,1,0,0,2,1,E01013421
2.01E+12,460050,452000,-1.086249,53.960607,12,1,1,3,40611,7,0.040972222,189,E06000014,3,1036,2,30,3,4,6,0,2,0,1,1,1,0,0,1,1,E01013366
2.01E+12,468230,451310,-0.961751,53.953394,12,1,2,2,24/05/2011,3,0.020833333,189,E06000014,3,1079,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013351
2.01E+12,468600,446220,-0.957254,53.907604,12,1,2,1,40851,2,0.004861111,189,E06000014,5,302,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013452
2.01E+12,460770,451240,-1.075428,53.953693,12,1,1,1,39210,1,0.036111111,189,E06000014,3,1036,2,30,9,4,3,1036,2,4,4,1,1,0,0,1,1,E01013363
2.01E+12,458230,451390,-1.114101,53.955333,12,1,1,1,30/06/2007,7,0.0375,189,E06000014,4,1224,6,30,3,4,6,0,0,8,4,1,1,0,0,1,1,E01013396
2.01E+12,462740,454710,-1.044699,53.984642,12,1,2,1,25/05/2007,6,0.029861111,189,E06000014,6,0,6,40,9,4,6,0,0,0,1,1,1,0,0,2,1,E01013409
2.01E+12,462780,443330,-1.046424,53.882369,12,1,1,2,15/02/2007,5,0.024305556,189,E06000014,3,19,6,30,0,-1,-1,0,0,0,4,1,2,0,0,2,1,E01013450
