Accident_Index,Location_Easting_OSGR ,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2.01E+12,461160,455040,-1.068725,53.987797,12,3,2,1,40586,6,0.034722222,189,E06000014,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01013407
2.01E+12,456700,454010,-1.136928,53.979048,12,3,2,1,40555,5,0.006944444,189,E06000014,3,1237,1,60,1,4,6,0,0,0,4,1,1,0,0,2,2,E01013422
2.01E+12,461070,452590,-1.070587,53.96579,12,3,2,1,40675,2,0.020833333,189,E06000014,3,1036,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01013382
2.02E+12,462641,453412,-1.046502,53.973008,12,3,2,1,43044,5,0.435416667,189,E06000014,5,95,6,30,3,4,6,4110,0,0,1,1,1,0,0,2,1,E01013388
2.01E+12,455730,453990,-1.15172,53.978974,12,3,2,1,40706,3,0.034722222,189,E06000014,6,0,6,30,6,4,6,0,0,0,4,1,2,0,0,2,2,E01013422
2.01E+12,460590,453230,-1.077776,53.971598,12,3,1,1,40706,3,0.006944444,189,E06000014,6,0,6,30,6,4,6,0,0,0,4,2,2,0,0,1,1,E01013343
2.02E+12,458952,451255,-1.103151,53.954057,12,3,2,1,43013,4,0.735416667,189,E06000014,3,59,6,30,3,4,6,5710,0,0,1,1,1,0,0,1,1,E01013391
2.01E+12,458200,448560,-1.115097,53.929904,12,3,1,1,40706,3,0.020833333,189,E06000014,3,1036,6,30,0,-1,-1,0,0,4,4,5,2,0,0,1,2,E01013355
2.01E+12,462670,450350,-1.046661,53.945469,12,3,1,1,40767,5,0.010416667,189,E06000014,5,293,6,30,0,-1,-1,0,0,0,1,1,2,0,0,1,1,E01013378
2.01E+12,453490,451330,-1.186338,53.955305,12,3,1,1,40828,7,0.010416667,189,E06000014,4,1224,6,60,0,-1,-1,0,0,0,1,1,4,0,0,2,1,E01013421
2.01E+12,463700,451260,-1.030781,53.953521,12,3,2,1,40828,7,0.034722222,189,E06000014,3,1079,1,30,1,4,6,0,0,0,4,1,2,0,0,1,1,E01013378
2.01E+12,461120,451370,-1.070069,53.95482,12,3,2,1,40859,1,0.020833333,189,E06000014,3,19,6,30,0,-1,-1,0,0,0,1,2,2,0,0,1,1,E01013363
2.01E+12,460860,452560,-1.073794,53.965545,12,3,1,1,40859,1,0.017361111,189,E06000014,5,90,6,30,0,-1,-1,0,0,0,1,2,2,0,0,1,1,E01013369
2.01E+12,457610,451440,-1.123539,53.955852,12,3,1,1,40859,1,0.013888889,189,E06000014,4,1224,6,30,3,2,6,0,0,0,4,1,2,0,0,1,1,E01013441
2.02E+12,460359,452819,-1.081404,53.96795,12,3,2,1,42983,3,0.756944444,189,E06000014,4,1363,6,30,7,2,6,3510,0,5,1,1,1,0,0,1,2,E01013366
2.01E+12,459400,452920,-1.095976,53.96895,12,3,2,1,40889,2,0.010416667,189,E06000014,3,1176,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01013346
2.02E+12,460728,451957,-1.075951,53.960161,12,3,2,1,42983,3,0.702777778,189,E06000014,6,7210,6,30,3,4,6,7210,0,0,1,1,1,0,0,1,1,E01013369
2.02E+12,457612,451448,-1.123531,53.955942,12,3,2,1,42983,3,0.607638889,189,E06000014,4,1224,6,30,3,2,5,285,0,5,1,1,1,0,0,1,1,E01013336
2.01E+12,460430,453190,-1.080223,53.971257,12,3,2,1,16/12/2011,6,0.03125,189,E06000014,6,3410,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01013343
2.01E+12,461710,452620,-1.060827,53.965984,12,3,2,1,13/12/2011,3,0.027777778,189,E06000014,5,408,6,30,3,4,6,7510,0,0,1,2,2,0,0,1,2,E01013380
2.01E+12,464620,446100,-1.017853,53.907036,12,3,1,1,19/12/2011,2,0.034722222,189,E06000014,5,301,6,60,0,-1,-1,0,0,0,1,2,4,0,0,2,1,E01013450
2.01E+12,461630,447550,-1.063068,53.920431,12,3,2,1,16/12/2011,6,0.013888889,189,E06000014,3,19,6,40,5,4,3,64,0,0,1,9,1,0,0,2,2,E01013450
2.02E+12,462977,458540,-1.040322,54.019049,12,3,1,2,42983,3,0.490277778,189,E06000014,5,92,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013436
2.01E+12,457590,451440,-1.123844,53.955854,12,3,2,1,23/12/2011,6,0.020833333,189,E06000014,4,1224,1,30,1,4,6,5710,0,0,1,2,2,0,0,1,1,E01013441
2.01E+12,460310,453190,-1.082052,53.971271,12,3,2,1,28/12/2011,4,0.038194444,189,E06000014,4,1363,1,30,1,4,6,0,0,0,4,1,1,0,0,1,1,E01013343
2.02E+12,460107,452247,-1.085358,53.962839,12,3,2,1,30/04/2017,1,0.854166667,189,E06000014,3,19,6,30,6,2,3,1036,0,0,1,1,1,4,0,1,2,E01013366
2.02E+12,461832,451089,-1.057693,53.952002,12,3,2,1,42370,6,0.020833333,189,E06000014,5,409,6,30,6,4,5,295,0,0,1,1,1,0,0,1,2,E01013363
